collection	operation	title	method	path	raw_parameters	body_kind	body_type	sdk_body_required	response	context	destructive	command	source
apps-reports-endpoints	rest:apple-ads-platform-api:post:reports-apps-keywords-query	Keywords Report	POST	/v1/reports/apps/keywords/query	none	JSON object	AppsReportingRequest	yes	200 AppsKeywordReportResponse	ad-account	no	reports apps keywords	https://developer.apple.com/documentation/apple-ads-platform-api/get-app-keyword-reports
apps-reports-endpoints	rest:apple-ads-platform-api:post:reports-apps-searchterms-query	Search Terms Report	POST	/v1/reports/apps/searchterms/query	none	JSON object	AppsReportingRequest	yes	200 AppsSearchTermReportResponse	ad-account	no	reports apps search-terms	https://developer.apple.com/documentation/apple-ads-platform-api/get-app-search-term-reports
assets-endpoints	rest:apple-ads-platform-api:post:assets-query	Query Assets	POST	/v1/assets/query	none	JSON object	QueryRequest	no	200 AssetQueryResponse	ad-account	no	assets find	https://developer.apple.com/documentation/apple-ads-platform-api/query-assets
assets-endpoints	rest:apple-ads-platform-api:post:assets-upload	Upload Asset	POST	/v1/assets/upload	none	multipart/form-data	form-data: file (binary; required), promotedObjectId (string; required), promotedObjectType (string; required; allowed=BUSINESS_BRAND)	yes	200 AssetResponse	ad-account	no	assets upload	https://developer.apple.com/documentation/apple-ads-platform-api/upload-asset
assets-endpoints	rest:apple-ads-platform-api:delete:assets-{}	Delete Asset	DELETE	/v1/assets/{id}	path:id (uuid; required)	none	none	no	200 Response	ad-account	yes	assets delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-asset-by-id
assets-endpoints	rest:apple-ads-platform-api:get:assets-{}	Get Asset	GET	/v1/assets/{id}	path:id (uuid; required)	none	none	no	200 AssetResponse	ad-account	no	assets view	https://developer.apple.com/documentation/apple-ads-platform-api/get-asset-by-id
brands-endpoints	rest:apple-ads-platform-api:post:business-brands-query	Query Brands	POST	/v1/business-brands/query	none	JSON object	QueryRequest	yes	200 BrandQueryResponse	ad-account	no	brands find	https://developer.apple.com/documentation/apple-ads-platform-api/query-brands
brands-endpoints	rest:apple-ads-platform-api:get:business-brands-{}	Get Brand by ID	GET	/v1/business-brands/{id}	path:id (string; required)	none	none	no	200 BrandResponse	ad-account	no	brands view	https://developer.apple.com/documentation/apple-ads-platform-api/get-brand-by-id
brands-endpoints	rest:apple-ads-platform-api:post:business-categories-query	Query Business Categories	POST	/v1/business-categories/query	none	JSON object	QueryRequest	yes	200 BusinessCategoryQueryResponse	ad-account	no	business-categories find	https://developer.apple.com/documentation/apple-ads-platform-api/query-categories
brands-endpoints	rest:apple-ads-platform-api:get:business-categories-{}	Get Business Category	GET	/v1/business-categories/{id}	path:id (string; required)	none	none	no	200 BusinessCategoryResponse	ad-account	no	business-categories view	https://developer.apple.com/documentation/apple-ads-platform-api/get-category-by-id
brands-endpoints	rest:apple-ads-platform-api:post:rejection-reasons-business-brands-query	Query Rejection Reasons for Brands	POST	/v1/rejection-reasons/business-brands/query	none	JSON object	PolicyAssignmentQueryRequest	no	200 PolicyAssignmentQueryResponse	ad-account	no	rejection-reasons brands find	https://developer.apple.com/documentation/apple-ads-platform-api/query-policy-assignments-(rejection-reasons)-for-external-consumers
brands-reports-endpoints	rest:apple-ads-platform-api:post:reports-business-brands-adgroups-query	Ad Groups Report (Brands)	POST	/v1/reports/business-brands/adgroups/query	none	JSON object	BrandsReportingRequest	yes	200 BrandsAdGroupReportResponse	ad-account	no	reports brands ad-groups	https://developer.apple.com/documentation/apple-ads-platform-api/get-brand-ad-group-reports
brands-reports-endpoints	rest:apple-ads-platform-api:post:reports-business-brands-ads-query	Ads Report (Brands)	POST	/v1/reports/business-brands/ads/query	none	JSON object	BrandsReportingRequest	yes	200 BrandsAdReportResponse	ad-account	no	reports brands ads	https://developer.apple.com/documentation/apple-ads-platform-api/get-brand-ad-reports
brands-reports-endpoints	rest:apple-ads-platform-api:post:reports-business-brands-campaigns-query	Campaigns Report (Brands)	POST	/v1/reports/business-brands/campaigns/query	none	JSON object	BrandsReportingRequest	yes	200 BrandsCampaignReportResponse	ad-account	no	reports brands campaigns	https://developer.apple.com/documentation/apple-ads-platform-api/get-brand-campaign-reports
brands-reports-endpoints	rest:apple-ads-platform-api:post:reports-business-brands-keywords-query	Keywords Report (Brands)	POST	/v1/reports/business-brands/keywords/query	none	JSON object	BrandsReportingRequest	yes	200 BrandsKeywordReportResponse	ad-account	no	reports brands keywords	https://developer.apple.com/documentation/apple-ads-platform-api/get-brand-keyword-reports
brands-reports-endpoints	rest:apple-ads-platform-api:post:reports-business-brands-searchterms-query	Search Terms Report (Brands)	POST	/v1/reports/business-brands/searchterms/query	none	JSON object	BrandsReportingRequest	yes	200 BrandsSearchTermReportResponse	ad-account	no	reports brands search-terms	https://developer.apple.com/documentation/apple-ads-platform-api/get-brand-search-term-reports
budget-orders-endpoints	rest:apple-ads-platform-api:post:shared-budgets	Create a Budget Order	POST	/v1/shared-budgets	none	JSON object	SharedBudgetCreate	no	200 SharedBudgetResponse	none	no	budget-orders create	https://developer.apple.com/documentation/apple-ads-platform-api/post-shared-budgets
